Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
65.0,2,0,0,0,58138.0,1617.0,5068.0,58.0,635.0,81.0,546.0,120.5,81.0,88.0,8,10,4,3,0,7,2
68.0,2,0,1,2,46344.0,27.0,4518.0,38.0,11.0,1.0,6.0,2.0,1.0,6.0,1,1,2,2,0,5,0
57.0,2,1,0,0,71613.0,776.0,4717.0,26.0,426.0,49.0,127.0,111.0,21.0,42.0,8,2,10,1,0,4,2
38.0,2,1,1,1,26646.0,53.0,4544.0,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2,0,4,2,0,6,0
41.0,4,1,1,1,58293.0,422.0,4566.0,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5,3,6,5,0,5,1
55.0,3,1,1,1,62513.0,716.0,4698.0,16.0,520.0,42.0,98.0,0.0,42.0,14.0,6,4,10,2,0,6,1
51.0,2,0,1,1,55635.0,590.0,4998.0,34.0,235.0,65.0,164.0,50.0,49.0,27.0,7,3,7,4,0,6,1
37.0,4,1,1,1,33454.0,169.0,4822.0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,4,0,4,2,0,8,0
48.0,4,1,1,1,30351.0,46.0,4793.0,19.0,14.0,0.0,24.0,3.0,3.0,2.0,3,0,2,1,0,9,0
72.0,4,1,1,2,5648.0,49.0,4513.0,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1,0,0,1,1,20,0
39.0,2,1,1,1,51381.5,19.0,4631.0,11.0,5.0,5.0,6.0,0.0,2.0,1.0,1,0,2,1,0,7,0
46.0,0,1,0,0,7500.0,61.0,4998.0,59.0,6.0,16.0,11.0,11.0,1.0,16.0,2,0,3,1,0,8,0
63.0,2,0,0,0,63033.0,1102.0,4631.0,82.0,194.0,61.0,480.0,120.5,81.0,30.0,3,4,8,1,0,2,2
70.0,3,0,1,2,59354.0,310.0,4631.0,53.0,233.0,2.0,53.0,3.0,5.0,14.0,6,1,5,3,0,6,1
35.0,2,1,0,0,17323.0,46.0,5032.0,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1,0,3,1,0,8,0
76.0,4,0,0,0,82800.0,1315.0,4987.0,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,7,6,12,1,2,3,2
42.0,2,1,1,2,41850.0,96.0,4957.0,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3,0,3,3,0,8,0
